English	Spanish
You can't bring that stuff into a hospital room.	No puedes entrar con eso a la habitación del hospital.
Could you reduce the price a little?	¿Podrías bajar un poco el precio?
I've been waiting for the bus for an hour.	Llevo una hora esperando el autobús.
You must not go out after dinner.	No puedes salir después de cenar.
I know your father.	Conozco a tu padre.
We believe in God.	Nosotros creemos en Dios.
Tom got out of the taxi.	Tom se bajó del taxi.
Is he right?	¿Está él bien?
I am a teacher.	Soy maestro.
Why don't you ask Tom to proofread this for you?	¿Por qué no le pides a Tom que te revise este texto?
Don't eat too much.	No coma en exceso.
I'm going to introduce you to my mother-in-law.	Voy a presentarte a mi suegra.
I agree with him.	Estoy de acuerdo con él.
He admitted that it was true.	Él admitió que era verdad.
It was Tom who hit me.	Fue Tom el que me pegó.
I hate mowing the lawn.	Detesto cortar el césped.
We live near the border.	Vivimos cerca de la frontera.
I'm not easily offended.	No me ofendo fácilmente.
Aren't you hot?	¿Ustedes no tienen calor?
He raised his hand and smiled.	Él alzó su mano y sonrió.
They often say that life is short.	Ellos a menudo dicen que la vida es breve.
When in doubt tell the truth. It will confound your enemies and astound your friends.	Cuando tengas dudas di la verdad. Eso confundirá a tus enemigos y asombrará a tus amigos.
I need to go and buy some stamps.	Tengo que ir y comprar algunas estampillas.
Do you know what happiness is?	¿Sabés qué es la felicidad?
Tom asked me to do it.	Tom me pidió que lo haga.
I like wine.	Me gusta el vino.
I don't know what else we can do.	No sé que más podemos hacer.
Tom isn't the only one.	Tomás no es el único.
He asked a very good question.	Él hizo una muy buena pregunta.
I'll do that for you.	Lo haré por vosotros.
I guess I lost track of the time.	Creo que perdí la noción del tiempo.
Why do you hate Canadians so much?	¿Por qué odias tanto a los canadienses?
Tom said Mary was his daughter.	Tom dijo que Mary era su hija.
It's just that easy.	Es así de fácil.
I learned that a long time ago.	Aprendí eso hace mucho tiempo.
Are you interested in baseball, Tom?	¿Estás interesado en el béisbol, Tom?
I feel like a kid who suddenly realizes that Santa Claus doesn't exist.	Me siento como un niño que de pronto descubre que Papá Noel no existe.
They were rescued by helicopter.	Ellos fueron rescatados en helicóptero.
I wish to express my deep appreciation for your kindness.	Quiero expresar mi más profundo agradecimiento por su bondad.
Everybody has stopped working.	Todos han dejado de trabajar.
I really am sorry.	Realmente lo siento.
We'll deal with the problem later.	Hagamos por solucionar ese problema luego.
Lower your voice.	Baje la voz.
This will be a good souvenir of my trip around the United States.	Este será un buen souvenir de mi viaje a los Estados Unidos.
Tom looks like he's a bit tired.	Tom se ve que está un poco cansado.
He secretly showed me her photo.	Él me mostró su fotografía en secreto.
Why don't you listen to me?	¿Por qué no me escuchas?
He was way behind on his rent. As a result, he was evicted from his apartment.	Él iba muy retrasado con el pago del alquiler. Como consecuencia, lo desahuciaron del apartamento.
I think you should wait.	Creo que deberías esperar.
His bark is worse than his bite.	Perro ladrador, poco mordedor.
He is a wolf in sheep's clothing.	Él es un lobo con piel de cordero.
Tom is not welcome in this house.	Tom no es bienvenido en esta casa.
I'd prefer that you stay home tonight.	Preferiría que te quedes en casa esta noche.
Tom committed suicide when he was thirty.	Tom se suicidó cuando tenía treinta años.
He knows a lot about animals.	Sabe mucho de animales.
Don't trust him.	No confíes en él.
I know that you're in love with me.	Sé que estás enamorado de mí.
Democrats and Republicans worked together.	Demócratas y republicanos trabajaron juntos.
He put his money in the bag.	Él puso su dinero en la bolsa.
We're broke.	Estamos sin un duro.
The dog is trying to escape.	El perro se está tratando de arrancar.
We're done.	Terminamos.
Add sugar to the tea.	Ponle azúcar al té.
Music is an important part of my life.	La música es una parte importante de mi vida.
He became so ill that he died two hours later.	Tan malo se puso que murió a las dos horas.
Algebra is a branch of mathematics.	El álgebra es una rama de las matemáticas.
Don't close your eyes.	No cierres los ojos.
I was in Canada then.	Yo en ese tiempo estaba en Canadá.
I felt exactly the same way.	Yo sentí exactamente lo mismo.
I will go regardless of the weather.	Iré sin importarme el tiempo.
Do you think Tom saw Mary?	¿Pensas que Tomás la vio a María?
I said nothing.	No dije nada.
No one pays attention to anything Tom says anymore.	Ya nadie le presta atención a lo que dice Tom.
I don't know very much about Boston.	No conozco mucho de Boston.
I saw you cooking.	Le he visto cocinar.
It can't be true.	No puede ser verdad.
Do you believe war will start?	¿Crees que comenzará la guerra?
Have another.	Tome otra.
I prefer paper cups to plastic ones.	Prefiero los vasos de papel a los de plástico.
The girl resembles her mother.	La niña se parece a su madre.
I told Tom my story.	Le conté a Tom mi historia.
Yes, I know.	Sí, lo sé.
They're still waiting for us to make up our minds.	Todavía están esperando a que tomemos una decisión.
Don't waste your youth, otherwise you'll regret it later.	No malgastes tu juventud, si no, lo lamentarás más tarde.
Ask me anything you want to know about Tom.	Pregúntame lo que quieras saber acerca de Tom.
I fully agree with all of you.	Estoy completamente de acuerdo con todos ustedes.
Why did you do this?	¿Por qué hiciste esto?
He claimed to be an expert in finance.	Él sostenía ser un experto en finanzas.
We're planting seeds.	Estamos plantando semillas.
They say he's very rich.	Se dice que es muy rico.
Tom told Mary that she shouldn't go out in this kind of weather.	Tom dijo a Mary que no debería salir con este tiempo.
He added a little sugar and milk to his tea.	Él le puso un poco de azúcar y leche a su té.
Tom is upset about this.	Tomás esta enojado por esto.
My mother gets up earlier than anyone else.	Mi madre se levanta antes que nadie.
How much does a newspaper subscription cost?	¿Cuánto cuesta una suscripción a un periódico?
They should respect our rights.	Deberían de respetar nuestros derechos.
I speak French every day at work.	Yo hablo francés todos los días en el trabajo.
I know a girl who speaks French very well.	Conozco una chica que habla muy bien francés.
I do not think that she is at home.	No creo que ella esté en casa.
I want you to listen to me.	Quiero que me escuches.
Do you want something to drink?	¿Deseas beber algo?
I didn't want to make a big deal out of it.	No quise hacer una montaña de un granito de arena.
The heat is terrible today.	Hoy hace un calor terrible.
This book isn't interesting at all.	Este libro no es nada interesante.
It's possible that Tom will get into Harvard.	Es posible que Tom ingrese a Harvard.
I decided to continue doing that.	Decidí seguir haciéndolo.
Everything is possible.	Todo es posible.
This is a good camera.	Esta es una buena cámara.
I made an abstract of a book.	Hice un resumen de un libro.
I want to talk to the doctor.	Quiero hablar con el doctor.
He has always been at the head of the class.	Él siempre ha estado al frente de la clase.
He was standing at the door.	Él estaba parado en la puerta.
You're quite smart.	Sos bastante listo.
What's your favorite home-cooked food?	¿Cuál es tu comida casera preferida?
Have you already met her?	¿Te has reunido ya con ella?
I quit smoking and drinking.	Dejé de fumar y de beber.
May God bless you.	¡Que Dios te bendiga!
Tom decided to tell Mary that he loved her.	Tom decidió decirle a Mary que la amaba.
I'm still busy.	Todavía estoy ocupado.
Don't drink so much beer.	No tomes tanta cerveza.
I'll need to check my schedule.	Tendré que revisar mi agenda.
He isn't perfect.	No es perfecto.
You can't make an omelet without breaking eggs.	No podés hacer un omelet sin romper los huevos.
She was advised by him not to borrow money from his friends.	Él le aconsejó que no le pidiera dinero prestado a sus amigos.
It looked cheap.	Se veía barato.
The phone rang while I was taking a shower.	Sonó el teléfono cuando me estaba duchando.
Tom had no say in the matter.	Tom no tenía ni voz ni voto en el asunto.
I got drunk.	Me emborraché.
We've just finished breakfast.	Acabamos de terminar de desayunar.
We had a quick lunch at a cafe.	Comimos un almuerzo simple en un café.
What did you give me?	¿Qué me diste tú?
The dog drank some water and went away.	El perro bebió un poco de agua y se fue.
I was really moved by this.	Esto realmente me conmovió.
Please wait a bit.	Por favor, espera un poquito.
If you are tied up now, I'll call you back later on.	Si ahora estás ocupado, te llamaré de vuelta más tarde.
Tom doesn't deserve another chance.	Tom no se merece otra oportunidad.
That's not safe.	Eso no es seguro.
Faithfulness is a virtue.	La fidelidad es una virtud.
When was the last time you played soccer?	¿Cuándo fue la última vez que usted jugó al fútbol?
He signaled them to stop.	Les hizo señas de que se detuvieran.
He unexpectedly met her in the market.	Se encontró inesperadamente con ella en el mercado.
It belongs to my brother.	Esto es de mi hermano.
I don't ever want to see you again.	No quiero volver a verte nunca.
An Englishman would not pronounce it like that.	Un inglés no pronuncia eso de esa forma.
She was unable to completely give up her dream of traveling abroad.	Ella fue incapaz de renunciar completamente a su sueño de viajar al extranjero.
Tom is not interested in politics.	A Tom no le interesa la política.
She can read very well.	Ella sabe leer muy bien.
My uncle is slim, but my aunt is fat.	Mi tío está delgado, pero mi tía está gorda.
Tom is full.	Tom está satisfecho.
They aren't there.	No están allí.
Did you have a good time?	¿Te lo has pasado bien?
I can be here for a while longer if you need me.	Puedo estar aquí por un rato más si me necesitas.
Three of Tom's friends went to Mary's party.	Tres de los amigos de Tom fueron a la fiesta de María.
According to this magazine, my favorite actress will marry a jazz musician next spring.	Según esta revista, mi actriz favorita se casará con un músico de jazz la próxima primavera.
That boy is in love with his teacher.	Ese chico está enamorado de su profesora.
I think Tom is jealous.	Creo que Tom está celoso.
Tom was sad.	Tom estaba triste.
They won.	Ellos ganaron.
I'm not sure what I should do.	No estoy seguro de lo que debería hacer.
Tom leaned forward and tapped the cab driver on the shoulder.	Tom se inclinó hacia delante y golpeó suavemente en el hombro al conductor del taxi.
Do not try to imitate her.	No intentes imitarle.
Come out here.	Sal aquí.
Tom doesn't work here anymore.	Tom no trabaja más acá.
I want to see it again.	Quiero volver a verlo.
I shouldn't have asked Tom to sing.	No debería haberle pedido a Tom que cantase.
I just don't want to make the wrong choice.	Simplemente no quiero tomar la decisión incorrecta.
That was Tom's plan all along.	Ese fue el plan de Tom desde el comienzo.
I'm going to give you a year's worth of allowance all at once.	Le daré un año de subsidio de una vez.
The students are all at their desks now.	Los estudiantes están todos en sus mesas ahora.
One learns by doing.	Haciendo se aprende.
Tom beat Mary up.	Tom dio una paliza a Mary.
She sent this book to me.	Ella me envió este libro.
I lost my sense of direction in the snowstorm.	Perdí el sentido de la orientación en la tormenta de nieve.
Every time it rains, the roof leaks.	Cada vez que llueve, el techo gotea.
They're typical youngsters.	Típicos adolescentes.
I feel like eating something sweet.	Tengo ganas de comer algo dulce.
Tom accused the employee of stealing.	Tom acusó al trabajador de robar.
All of us were busy cleaning the room.	Todos estábamos ocupados limpiando la habitación.
I need to go into town.	Tengo que ir al centro.
The snake is swallowing an egg.	La serpiente se está tragando un huevo.
Let's try doing this again.	Probemos a hacerlo de nuevo.
Don't laugh.	No te rías.
I just want to ask you a question.	Solo quiero hacerte una pregunta.
That man is strong.	Ese hombre es fuerte.
Has the movie started yet?	¿Ya ha empezado la película?
I just want to hug you.	Solo quiero abrazarte.
Tom is still in Boston.	Tom todavía está en Boston.
Where did Tom go wrong?	¿Dónde se equivocó Tom?
I'm single.	Estoy soltero.
I've caught a bad cold.	Cogí un resfriado terrible.
Make it smaller.	Achícalo.
This is Tom.	Este es Tom.
A nod is a sign of agreement.	Un cabeceo es un signo de acuerdo.
Where is Paris?	¿Dónde está París?
She heard him scream.	Ella le oyó gritar.
I need a tool for pulling weeds in my garden.	Necesito una herramienta para sacar hierba de mi jardín.
What are these?	¿Qué son éstas?
The temperature's fallen below zero.	La temperatura ha llegado a bajo cero.
I am playing a computer game.	Estoy jugando un juego de computador.
Who is that man in the background of the picture?	¿Quién es ese hombre en el fondo del cuadro?
Please speak up.	Por favor, habla más fuerte.
It was rather easy for them.	Fue bien fácil para ellos.
He began to suspect something was wrong when the seller didn't allow him to test the item before buying it.	Él empezó a sospechar que algo iba mal cuando el vendedor no le permitió probar el objeto antes de comprarlo.
Tom said he could give Mary some money.	Tom dijo que le podía dar un poco de dinero a Mary.
The old man was accompanied by his grandchild.	El anciano era acompañado por su nieto.
Tom has a good sense of humor.	Tom tiene un buen sentido del humor.
He is doing penance.	Está haciendo penitencia.
Tom said he was at home on the night of the murder.	Tom dijo que estaba en casa la noche del asesinato.
There is no need for him to work.	Él no necesita trabajar.
Tom wants to learn.	Tom quiere aprender.
Please fix this.	Por favor, arreglen esto.
He's a ninja.	Él es ninja.
Tom couldn't afford to buy the bicycle he wanted.	Tom no pudo permitirse comprar la bicicleta que quería.
He loves her, but she doesn't like him.	Él la quiere, pero a ella no le gusta él.
We're up early.	Nos levantamos temprano.
I had lost my pen.	Había perdido mi bolígrafo.
Many non-Christians celebrate Christmas, too.	Muchos no cristianos también celebran la Navidad.
She's my wife.	Ella es mi esposa.
The teachers greeted the little boy.	Los profesores saludaron al pequeño niño.
They shook hands when they met at the airport.	Ellos se dieron la mano cuando se encontraron en el aeropuerto.
Will I still be able to do it?	¿Seguiré siendo capaz de hacerlo?
Tom gave me these old coins.	Tom me ha dado estas monedas antiguas.
I don't want to break up with you.	No quiero romper contigo.
You look as beautiful as ever.	Estás más linda que nunca.
I couldn't control my tears.	No pude controlar mis lágrimas.
The price of coffee has come down.	Ha bajado el precio del café.
How many sandwiches are there left?	¿Cuántos sándwiches quedan?
The falling of the Berlin Wall was truly a momentous occasion.	La caída del muro de Berlín fue en verdad un acontecimiento histórico.
Butter is made from cream.	La mantequilla se hace con nata.
I was just in time for the last train.	Llegué justo a tiempo para el último tren.
It will not be long before she comes back.	Ella no tardará mucho en volver.
The temperature is currently ten degrees below zero.	La temperatura ahora es de diez grados bajo cero.
Tom wouldn't approve.	Tom no lo aceptaría.
Look at this picture of my family.	Mira esta foto de mi familia.
Tom is right.	Tom tiene razón.
Tom is a civilian.	Tom es civil.
I went to see his sister last week.	Fui a ver a su hermana la semana pasada.
Tom finished the job in three hours.	Tom terminó el trabajo en tres horas.
I repeated exactly what he had said.	Yo repetí exactamente lo que él dijo.
I've written a lot of stories.	He escrito muchas historias.
Shoes change one's life. Just ask Cinderella!	Los zapatos le cambian a uno la vida, ¡fíjate en la Cenicienta!
How far away is the airport?	¿A qué distancia está el aeropuerto?
We're restless.	Somos inquietos.
The little boy said hello to me.	El niñito me dijo hola.
It's time to go now.	Es hora de partir.
Nobody came to help me.	No vino nadie a ayudarme.
For three weeks, he ate nothing at all.	Él no comió absolutamente nada por tres semanas.
We weren't at home yesterday.	Ayer no estábamos en casa.
How many months can you stay here?	¿Cuántos meses te puedes quedar aquí?
Don't let him listen to this music.	No lo dejes escuchar esta música.
We pledged our support to the candidate.	Prometimos nuestro apoyo al candidato.
She has a pure heart.	Ella tiene un corazón puro.
Gargling with salt water helps stop coughing.	Hacer gárgaras con agua con sal ayuda para la tos.
The pastor said Tom's going to burn in hell.	El pastor dijo que Tom iba a arder en el infierno.
Now I remember.	Ahora recuerdo.
This medicine has no side effects.	Este remedio no tiene efectos secundarios.
I've been trying to figure out who Tom might have given the money to.	He estado tratando de deducir a quién Tom le pudo haber dado el dinero.
How many people came to your party?	¿Cuánta gente vino a tu fiesta?
I guess it's OK.	Supongo que está bien.
I'll sleep in my room.	Dormiré en mi habitación.
If you want more details than that, you'll have to ask my boss.	Si quieres más detalles que eso, tendrás que preguntarle a mi jefe.
This problem is too difficult for me to solve.	Este problema es muy difícil y yo no sé resolverlo.
Tom cut Mary's picture out of the magazine.	Tom recortó la fotografía de Mary de la revista.
Let's finish this.	Terminemos esto.
Take that back.	Devuélvelo.
She succeeded in opening the box.	Ella logró abrir la caja.
Tom complained about his low salary.	Tom se quejaba sobre su mal salario.
Tom might be busy.	Puede que Tom esté ocupado.
I must leave here today.	Debo salir de aquí hoy.
I looked for someone to take her place.	Yo busqué a alguien que la sustituyera.
Do you agree with Tom?	¿Estás de acuerdo con Tom?
Tom and I have some classes together.	Tom y yo tenemos algunas clases juntos.
He is very fond of playing the guitar.	A él le gusta mucho tocar la guitarra.
I only have four toes on my left foot.	Sólo tengo cuatro dedos en mi pie izquierdo.
I understand Tom.	Entiendo a Tom.
I read his book.	Leí su libro.
How was your honeymoon?	¿Cómo fue tu luna de miel?
He never breaks his promises.	Él nunca rompe sus promesas.
The key was nowhere to be found.	No podíamos encontrar la llave en ninguna parte.
What has happened to Tom?	¿Qué le ha pasado a Tom?
You may go.	Pueden marcharse.
It was too nice a day to stay inside.	El clima estaba muy bueno para quedarse dentro.
I won't go without you.	No iré sin ti.
I do like you.	Sí, tú me gustas.
The world is full of incompetent doctors.	El mundo está lleno de médicos incompetentes.
My sister is too young to go to school.	Mi hermana es demasiado pequeña para ir a la escuela.
Cats like playing in the sun.	A los gatos les gusta jugar al sol.
He wants to be a policeman in the future.	Le gustaría ser policía en el futuro.
She's working on a term paper.	Ella está elaborando un trabajo final.
Do you go to college?	¿Vas a la universidad?
It's a little late for prayer.	Es un poco tarde para plegarias.
I'll explain it in detail next week.	La semana que viene lo explicaré en detalle.
It is none the less true.	Es sin embargo cierto.
I'm one of the thirty people who were asked to do that.	Soy una de las treinta personas a las que se nos pidió hacer eso.
It's easy to make and it's cheap.	Es fácil de hacer y barato.
He has a remarkable memory.	Él tiene una memoria notable.
Does love exist?	¿El amor existe?
He often drives his father's car.	Él conduce a menudo el coche de su padre.
Tom speaks French perfectly.	Tom habla francés a la perfección.
Children like playing outside.	A los niños les gusta jugar fuera.
This is a good place to pitch a tent.	Este es un buen lugar para levantar una carpa.
Do you really want to be here?	¿De verdad quieres estar aquí?
Take everything.	Cógelo todo.
Tom is a creep.	Tom es un cerdomarrano.
You must not make noises in the classroom.	No debes meter boche en clase.
Do you often listen to audiobooks?	¿Escuchas con frecuencia audiolibros?
No, I didn't help.	No, no ayudé.
What kind of nonsense is that?	¿Qué clase de tontería es esa?
He has much more money than I have.	Él tiene mucho más dinero que yo.
He won't beat me.	Él no me va a pegar.
My friend is seventeen years old.	Mi amigo tiene 17 años.
I knew you couldn't wait.	Sabía que no podías esperar.
Tom had an accident.	Tom tuvo un accidente.
My mother made me a sweater.	Mi madre me hizo un jersey.
He is tall and strong.	Él es alto y fuerte.
Her blue shoes go well with that skirt.	Sus zapatos azules combinan bien con esa falda.
"Where do you live? ""I live in Tokyo."""	«¿Dónde vives?» «Vivo en Tokio.»
The young widow got engaged once more.	La joven viuda se hizo de nuevo novia.
It is more than I can stand.	Eso es más de lo que puedo soportar.
The kid stumbled and fell to his knees.	El chico se tropezó y cayó de rodillas.
It was fun while it lasted.	Fue divertido mientras duró.
Tom doesn't work anymore.	Tom ya no trabaja.
I'm afraid of dogs.	Le tengo miedo a los perros.
"I studied French a long time ago, but now all I remember is ""bonjour."""	"Estudié francés hace mucho tiempo, pero ahora todo lo que recuerdo es ""bonjour""."
He had to withdraw.	El tuvo que retirarse.
I don't think Tom will be back.	No creo que Tom regrese.
I guess we could.	Supongo que podemos.
Did you and Tom discuss a price?	¿Tú y Tom hablaron de un precio?
Tom dyed his hair dark brown.	Tom se tiñó el pelo castaño oscuro.
The chameleon changes color depending on where it finds itself.	El camaleón cambia de color según dónde se encuentre.
The orchestra is playing.	La orquesta está tocando.
You should not speak ill of others.	No deberías hablar mal de otros.
I'll never help you.	Jamás te voy a ayudar.
Today's math class was more interesting than usual.	La clase de matemáticas de hoy, fue más divertida de lo usual.
The room has a seating capacity of 200.	La sala tiene una capacidad de 200 asientos.
She never thinks about him.	Ella nunca piensa en él.
That's a very good idea.	Esa es una muy buena idea.
Please don't waste water.	Por favor, no desperdicie agua.
Don't they take care of the dog?	¿Ellos no cuidan al perro?
I don't think Tom would be bored if you told him about your trip.	No creo que Tom se aburriese si le hablaras sobre tu viaje.
Tom can't help you.	Tom no puede ayudaros.
Don't interrupt.	No interrumpas.
The bank loaned the company one million dollars.	El banco le prestó a la compañía un millón de dólares.
Which is quicker, a taxi or the subway?	¿Qué es más rápido, un taxi o el metro?
You know everything.	Usted conoce todo.
His bag was stolen yesterday.	Ayer le robaron su bolso.
This is the last train, sir.	Éste es el último tren, señor.
We have had enough.	Hemos tenido suficiente.
Maybe we should wait.	Tal vez deberíamos esperar.
Your soul needs to be saved.	Tu alma necesita ser salvada.
You're a good cook.	Usted es un buen cocinero.
She used to play tennis on Sunday.	Solía jugar al tenis los domingos.
Tom decided to postpone his departure.	Tom decidió posponer su salida.
He asks me to be attentive.	Me pide que esté atento.
The groom left the bride standing at the altar.	El novio huyó del altar.
You can't skateboard here.	No puedes andar en patineta aquí.
The patient moved his lips slightly.	El paciente movió los labios ligeramente.
I've just come home.	Acabo de llegar a casa.
Here, take this.	Coge esto.
She seems to get fatter and fatter.	Parece estar poniéndose cada vez más gorda.
You must consider what kind of work you want to do.	Deberías pensar qué clase de trabajo quieres hacer.
Her mother knocked on the door.	Su madre llamó a la puerta.
I turned the computer off.	Apagué el ordenador.
She is busy preparing supper now.	Ahora ella está ocupada preparando la cena.
Happy workers are better workers.	Los trabajadores contentos son mejores trabajadores.
That's almost the same thing.	Es casi la misma cosa.
I don't think Tom and Mary have anything in common.	No pienso que Tom y Mary tengan algo en común.
It will become much warmer in March.	En marzo hará más calor.
Tom drove Mary home.	Tom condujo a Mary a casa.
Stay here with us.	Quédese aquí con nosotras.
I was reading a book.	Yo estaba leyendo un libro.
I noticed that she was wearing new glasses.	Me di cuenta de que ella llevaba gafas nuevas.
Oslo is the capital of Norway.	Oslo es la capital de Noruega.
I would rather stay at home than go shopping.	Prefiero quedarme en casa a salir de compras.
Get well soon!	¡Que te mejores pronto!
I'm absolutely sure that I did nothing wrong.	Estoy seguro del todo de no haber hecho nada malo.
Tom stabbed Mary repeatedly with his knife.	Tom apuñaló a Mary repetidamente con su cuchillo.
You can count on him.	Se puede contar con él.
Tom took a picture of his old camera with his new camera.	Tom hizo una foto de su cámara vieja con su cámara nueva.
He entered the business world instead of going on to college.	Él entró al mundo de los negocios en lugar de ir a la universidad.
May I ask why it is that you don't want to talk about it?	¿Puedo preguntarle por qué no quiere hablar de ello?
He cleared his throat.	Él se aclaró la garganta.
The kids were gone when I got home.	Los niños se habían ido cuando llegué a casa.
This is a song I learned when I was a child.	Ésta es una canción que aprendí cuando era pequeño.
Five plus three is eight.	Cinco más tres es ocho.
Just give it a minute.	Solo dale un minuto.
Tell me how you solved the problem.	Dime como solucionaste el problema.
Europe is now reported to be entirely free of new cases of this disease.	Se ha concluido que Europa está ya completamente libre de nuevos casos de esta enfermedad.
Come back here immediately!	¡Vuelva aquí de inmediato!
He let the dog loose in the garden.	Dejó al perro suelto en el jardín.
That hotel is very near the lake.	Ese hotel está muy cerca del lago.
Is she nice?	¿Ella es simpática?
I'm a coward when it comes to cockroaches.	Soy un cobarde con las cucarachas.
I wanted to try to continue.	Yo quería intentar continuar.
Do you believe ghosts exist?	¿Crees que existen los fantasmas?
Will you have some more pie?	¿Quieres un poco más de tarta?
Even the richest man in the world can't buy everything.	Ni siquiera el hombre más rico del mundo puede comprarlo todo.
It wasn't easy for me to keep my promise.	No me fue fácil mantener la promesa.
Tom is faster than you think.	Tomás es más rápido de lo que piensas.
Tom, get us out of here!	¡Tom, sácanos de aquí!
Tom needs to take charge.	Tom tiene que ponerse al mando.
I love American food.	Me encanta la comida estadounidense.
We've forgotten something.	Hemos olvidado algo.
Just hold on.	Sólo espera.
I don't know if she will go there with me.	Yo no sé si ella irá allí conmigo.
You made it.	Lo habéis logrado.
When darkness falls, the baboons return to the trees to sleep, safe from night prowlers.	Cuando cae la noche, los babuinos vuelven a los árboles para dormir, a salvo de los merodeadores nocturnos.
He hung up before I could say anything.	Él colgó antes de que pudiera decir nada.
The black cat purred, as if he was being petted.	El gato negro ronroneó como si lo estuvieran acariciando.
I can't tell Tom the truth.	No le puedo decir la verdad a Tom.
Your English is perfect.	Tu ingles es perfecto.
Tom didn't keep his promise.	Tom no mantuvo su promesa.
What doesn't Tom know?	¿Qué no sabe Tom?
What else is there?	¿Qué más hay ahí?
Whales are very large mammals that live in the ocean.	Las ballenas son mamíferos gigantescos que viven en el mar.
I'm not the person you think I am.	No soy quien creías que era.
Do you want to do it?	¿Quieres hacerlo?
Tom only spent three dollars for his lunch.	Tom gastó solo tres dólares para almorzar.
You look younger.	Pareces más joven.
The weather is cold now.	Ahora hace tiempo frío.
People like to talk.	A la gente le gusta hablar.
Tom isn't ready to go anywhere.	Tom no está listo para ir a ninguna parte.
Hope you had a good birthday.	Ojalá hayas tenido un buen cumpleaños.
I can't stop coughing.	No puedo parar de toser.
He doesn't have the time to play cards.	No tiene tiempo para jugar a las cartas.
Tom aimed his pistol at the target.	Tom apuntó su pistola al blanco.
I want to speak in French.	Quiero hablar francés.
Whenever I call, he is out.	Siempre que llamo está fuera.
You have a beautiful name.	Tienes un bello nombre.
This type of cat has no tail.	Esta clase de gatos no tiene cola.
I wouldn't say it was unimportant.	Yo no diría que no era importante.
I often go swimming at the beach in the summer.	A menudo voy a la playa a nadar en el verano.
Did you like your first class?	¿Te gustó tu primera clase?
You must decide whether you will go by train or by plane.	Tienes que decidir si vas a ir en tren o en avión.
He is something of a celebrity.	Es una especie de celebridad.
He got his arm broken while he was playing soccer.	Él se rompió el brazo jugando al fútbol.
There's no harm done.	No pasa nada.
This is not funny anymore.	Esto ya no es divertido.
Tom and I made ourselves as comfortable as possible.	Tom y yo nos pusimos tan cómodos como se podía.
Tom looks very uncomfortable.	Tom parece muy incómodo.
Why doesn't he eat lunch with me anymore?	¿Por qué él ya no almuerza conmigo?
She sells seashells by the seashore.	Ella vende conchas en la costa.
You just made my weekend.	Me alegraste el fin de semana.
What is this about?	¿De qué trata esto?
Tom wants to eat here tonight.	Tom quiere comer aquí esta noche.
The soldiers resisted the enemy attack.	Los soldados resistieron el ataque del enemigo.
It's what I am.	Es lo que soy.
Let's hide behind the curtain.	Ocultémonos detrás de la cortina.
Accidents do happen.	Los accidentes ocurren.
I've finished reading the book.	He acabado de leer el libro.
Move over.	Deja sitio.
My aunt gave me an album.	Mi tía me dio un álbum.
Even though Tom used to be my best friend, I'm beginning to hate him.	A pesar de que Tom era mi mejor amigo, estoy empezando a odiarlo.
Tom and Mary were snuggled up to each other and Tom was whispering something into Mary's ear.	Tom y Mary estaban acurrucados y Tom le estaba susurrando algo a Mary en el oído.
She was afraid to travel alone.	Ella tenía miedo de viajar sola.
Where's your hat?	¿Dónde está su sombrero?
You scare me.	Me das miedo.
I don't have the address with me.	No ando con la dirección.
How much for half a kilo?	¿Cuánto cuesta medio kilo?
He bought eggs and milk from a farmer.	Él le compró huevos y leche a un granjero.
I'm sure that'll really be appreciated.	Estoy convencido de que eso será ciertamente apreciado.
I know I have a biased opinion.	Sé que mi opinión está condicionada.
Go now.	Id ya.
My little sister doesn't like the taste of cottage cheese.	A mi hermana pequeña no le gusta el sabor del queso fresco.
I quit.	Renuncié.
You should have your head examined.	Deberías hacerte ver tu cabeza.
I couldn't help but laugh to myself.	No podía contener la risa.
It's supposed to snow tomorrow.	Debería nevar mañana.
It's as easy as ABC.	Es coser y cantar.
You did a very good job.	Hiciste un muy buen trabajo.
Let go of my arm.	Soltadme el brazo.
The boy caught the dog by the tail.	El chico agarró al perro por la cola.
We painted the door green.	Hemos pintado de verde la puerta.
Certain poisons, properly used, are useful.	Ciertos venenos, usados adecuadamente, son útiles.
I've been very lucky.	He tenido mucha suerte.
Give me a glass of water, please.	Dame un vaso de agua, por favor.
Mary told me that she loved me.	Mary me dijo que me quería.
Tom has broken something again.	Tomás de nuevo ha roto algo.
Please kick as hard as you can.	Patee lo más fuerte que pueda.
She intends to play tennis.	Ella pretende jugar al tenis.
No matter how tired I might be, I have to work.	No importa lo cansado que pueda estar, tengo que trabajar.
The museum is open from Monday to Friday.	El museo está abierto de lunes a viernes.
Take your time. There's no rush.	Tómate tu tiempo, no hay prisa.
He was forced to return to Washington.	Él se vio obligado a volver a Washington.
I am learning to speak Filipino.	Estoy aprendiendo a hablar tagalo.
I can't open the door.	No puedo abrir la puerta.
No one came to help me.	Ninguno vino a ayudarme.
I wouldn't like to meet him in a dark place.	No me gustaría encontrármelo en un lugar oscuro.
Everyone knew the song.	Todos conocían la canción.
Repeat each sentence after me.	Repite cada frase después de mí.
"GPS means ""Global Positionning System""."	GPS significa Sistema de Posicionamiento Global.
Fast food can be addictive.	La comida rápida puede ser adictiva.
I aspire to be like Tom.	Yo quiero ser como Tom.
I'm single.	Soy soltero.
